api10,direction,direction_cleansed,wellname,welltype,welltype_cleansed,spuddate,spuddate_cleansed,operator_name,operator_name_cleansed,basin,basin_cleansed,subbasin,subbasin_cleansed,state,state_cleansed,county,county_cleansed,cum12moil,cum12moil_cleansed,cum12mgas,cum12mgas_cleansed,cum12mwater,cum12mwater_cleansed,production_load_ts
4200100536,Vertical,Vertical,ROYALL NATIONAL BANK -B- 2,Oil,Oil,2023-05-29,2023-05-29,Pride Energy Company,Pride Energy Company,Other,Other,Other,Other,Texas,Texas,Anderson,Anderson,386.0,386.0,0.0,0.0,0.0,0.0,2024-10-14 20:54:13.666406
4201335907,Horizontal,Horizontal,EMMA TARTT D 29H,Oil,Oil,2023-01-28,2023-01-28,Exxon Mobil,Exxon Mobil,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,109611.0,109611.0,133766.0,133766.0,175507.0,175507.0,2024-10-14 20:54:13.666406
4201335938,Horizontal,Horizontal,ASE SOUTH A333SD,Oil,Oil,2023-04-04,2023-04-04,Arrow S Energy,Arrow S Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,101376.0,101376.0,33994.0,33994.0,116752.0,116752.0,2024-10-14 20:54:13.666406
4201335939,Horizontal,Horizontal,ASE SOUTH A311SD,Oil,Oil,2023-04-01,2023-04-01,Arrow S Energy,Arrow S Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,98535.0,98535.0,34380.0,34380.0,135746.0,135746.0,2024-10-14 20:54:13.666406
4201335942,Horizontal,Horizontal,ASE SOUTH A322SD,,Oil,2023-04-01,2023-04-01,Arrow S Energy,Arrow S Energy,,Permian,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,84790.0,84790.0,35563.0,35563.0,117483.0,117483.0,2024-10-14 20:54:13.666406
4201335962,Horizontal,Horizontal,MIDDLE MCCOWEN 312H,Oil,Oil,2023-01-07,2023-01-07,Marathon,Marathon,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,139017.0,139017.0,104608.0,104608.0,211606.0,211606.0,2024-10-14 20:54:13.666406
4201335963,Horizontal,Horizontal,MIDDLE MCCOWEN 113H,Oil,Oil,2023-01-06,2023-01-06,Marathon,Marathon,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,144087.0,144087.0,,346933.0,285631.0,285631.0,2024-10-14 20:54:13.666406
4201335972,Horizontal,Horizontal,POTH A 2H,Oil,Oil,2023-01-08,2023-01-08,Pillar Energy,Pillar Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,104462.0,104462.0,120130.0,120130.0,235491.0,235491.0,2024-10-14 20:54:13.666406
4201335975,Horizontal,Horizontal,WYE-WARREN A 02H,Oil,Oil,2023-01-13,2023-01-13,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,115630.0,115630.0,55253.0,55253.0,141364.0,141364.0,2024-10-14 20:54:13.666406
4201335978,Horizontal,Horizontal,RETZLOFF MAY-MAUCH KRUEGER SA 1H,Oil,Oil,2023-01-09,2023-01-09,Marathon,Marathon,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,102718.0,102718.0,158410.0,158410.0,80504.0,80504.0,2024-10-14 20:54:13.666406
4201335979,Horizontal,Horizontal,BOWMAN WEST K335,Oil,Oil,2023-01-12,2023-01-12,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,64391.0,64391.0,49798.0,49798.0,138302.0,138302.0,2024-10-14 20:54:13.666406
4201335980,Horizontal,Horizontal,BOWMAN WEST K336,Oil,Oil,2023-01-10,2023-01-10,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,68263.0,68263.0,44634.0,44634.0,117995.0,117995.0,2024-10-14 20:54:13.666406
4201335983,Horizontal,Horizontal,BOWMAN WEST J332,Oil,Oil,2023-01-29,2023-01-29,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,52227.0,52227.0,21993.0,21993.0,189116.0,189116.0,2024-10-14 20:54:13.666406
4201335984,Horizontal,Horizontal,FOREIGNER 19H,Oil,Oil,2023-01-23,2023-01-23,Trinity Operating,Trinity Operating,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,66306.0,66306.0,23446.0,23446.0,263792.0,263792.0,2024-10-14 20:54:13.666406
4201335986,Horizontal,Horizontal,FOREIGNER 21H,Oil,Oil,2023-01-20,2023-01-20,Trinity Operating,Trinity Operating,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,61684.0,61684.0,15538.0,15538.0,110397.0,110397.0,2024-10-14 20:54:13.666406
4201335989,Horizontal,Horizontal,THE EAGLES 17H,Oil,Oil,2023-02-18,2023-02-18,Trinity Operating,Trinity Operating,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,87241.0,87241.0,32687.0,32687.0,260477.0,260477.0,2024-10-14 20:54:13.666406
4201335991,Horizontal,Horizontal,PEARCE 6H,Oil,Oil,2023-02-15,2023-02-15,Valence Operating,Valence Operating,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,105597.0,105597.0,14014.0,14014.0,135771.0,135771.0,2024-10-14 20:54:13.666406
4201336001,Horizontal,Horizontal,DAVY CROCKETT A 1H,Oil,Oil,2023-04-18,2023-04-18,EOG,EOG,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,193129.0,193129.0,144199.0,144199.0,232030.0,232030.0,2024-10-14 20:54:13.666406
4201336002,Horizontal,Horizontal,DAVY CROCKETT B 2H,Oil,Oil,2023-04-19,2023-04-19,EOG,EOG,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,196753.0,196753.0,147887.0,147887.0,407087.0,407087.0,2024-10-14 20:54:13.666406
4201336003,Horizontal,Horizontal,DAVY CROCKETT C 3H,Oil,Oil,2023-04-20,2023-04-20,EOG,EOG,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,199472.0,199472.0,156523.0,156523.0,432900.0,432900.0,2024-10-14 20:54:13.666406
4201336004,Horizontal,Horizontal,DAVY CROCKETT D 4H,Oil,Oil,2023-04-21,2023-04-21,EOG,EOG,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,177770.0,177770.0,140211.0,140211.0,393029.0,393029.0,2024-10-14 20:54:13.666406
4201336008,Horizontal,Horizontal,DAVY CROCKETT H 8H,Oil,Oil,2023-04-17,2023-04-17,EOG,EOG,Eagle Ford,Eagle Ford,Maverick Basin,Maverick Basin,Texas,Texas,Atascosa,Atascosa,104572.0,104572.0,73485.0,73485.0,290038.0,290038.0,2024-10-14 20:54:13.666406
4201336012,Horizontal,Horizontal,TOM-KOWALIK B ALLOC 2H,Oil,Oil,2023-09-01,2023-09-01,Verdun,Verdun,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,Atascosa,Atascosa,172929.0,172929.0,167041.0,167041.0,447887.0,447887.0,2024-10-14 20:54:13.666406
4203332586,Horizontal,Horizontal,WEREWOLF UNIT B 12-05 4AH,Oil,Oil,2023-03-18,2023-03-18,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,152764.0,152764.0,97702.0,97702.0,421361.0,421361.0,2024-10-14 20:54:13.666406
4203332607,Horizontal,Horizontal,FLUVANNA (MISSISSIPPIAN) UNIT 5182H,Oil,Oil,2023-02-05,2023-02-05,Browning Oil,Browning Oil,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,19097.0,19097.0,22026.0,22026.0,296459.0,296459.0,2024-10-14 20:54:13.666406
4203332614,Horizontal,Horizontal,YETI UNIT A 10-06 1AH,Oil,Oil,2023-02-11,2023-02-11,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,199148.0,199148.0,149870.0,149870.0,459943.0,459943.0,2024-10-14 20:54:13.666406
4203332615,Horizontal,Horizontal,YETI UNIT A 10-06 2AH,Oil,Oil,2023-02-16,2023-02-16,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,191900.0,191900.0,164560.0,164560.0,471164.0,471164.0,2024-10-14 20:54:13.666406
4203332616,Horizontal,Horizontal,WEREWOLF UNIT B 12-05 5AH,Oil,Oil,2023-04-07,2023-04-07,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,164095.0,164095.0,128023.0,128023.0,430897.0,430897.0,2024-10-14 20:54:13.666406
4203332617,Horizontal,Horizontal,WEREWOLF UNIT B 12-05 6AH,Oil,Oil,2023-04-13,2023-04-13,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,145061.0,145061.0,110719.0,110719.0,419366.0,419366.0,2024-10-14 20:54:13.666406
4203332618,Horizontal,Horizontal,ERLKING UNIT A 21-09 3AH,Oil,Oil,2023-03-24,2023-03-24,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,76829.0,76829.0,63035.0,63035.0,217811.0,217811.0,2024-10-14 20:54:13.666406
4203332619,Horizontal,Horizontal,ERLKING UNIT B 21-09 4AH,Oil,Oil,2023-03-30,2023-03-30,Surge Energy,Surge Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,85739.0,85739.0,82933.0,82933.0,246292.0,246292.0,2024-10-14 20:54:13.666406
4203332632,Horizontal,Horizontal,MILLER RANCH B501MH,Oil,Oil,2023-04-02,2023-04-02,King Operating,King Operating,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,5711.0,5711.0,2769.0,2769.0,56120.0,56120.0,2024-10-14 20:54:13.666406
4203332635,Horizontal,Horizontal,SHAFER 32-12 B UNIT A 5H,Oil,Oil,2023-04-29,2023-04-29,Highpeak Energy,Highpeak Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,74407.0,74407.0,20031.0,20031.0,565130.0,565130.0,2024-10-14 20:54:13.666406
4203332636,Horizontal,Horizontal,SHAFER 32-12 B UNIT L 5H,Oil,Oil,2023-04-29,2023-04-29,Highpeak Energy,Highpeak Energy,Permian,Permian,Midland,Midland,Texas,Texas,Borden,Borden,73803.0,73803.0,20745.0,20745.0,572110.0,572110.0,2024-10-14 20:54:13.666406
4209734799,Vertical,Vertical,COOKE 24,Oil,Oil,2023-05-22,2023-05-22,Wfw Production,Wfw Production,Anadarko,Anadarko,SCOOP,SCOOP,Texas,Texas,Cooke,Cooke,3962.0,3962.0,0.0,0.0,8427.0,8427.0,2024-10-14 20:54:13.666406
4209734801,Vertical,Vertical,THS UNIT 7,Oil,Oil,2023-05-20,2023-05-20,"Miller, Glenn J.","Miller, Glenn J.",Barnett,Barnett,Barnett,Barnett,Texas,Texas,Cooke,Cooke,1090.0,1090.0,0.0,0.0,3815.0,3815.0,2024-10-14 20:54:13.666406
4209734802,Vertical,Vertical,"TRUBENBACH, J. F. -A- 30",Oil,Oil,2023-05-31,2023-05-31,Wfw Production,Wfw Production,Barnett,Barnett,Barnett,Barnett,Texas,Texas,Cooke,Cooke,2158.0,2158.0,0.0,0.0,0.0,0.0,2024-10-14 20:54:13.666406
4209734803,Vertical,Vertical,BELL 15,Oil,Oil,2023-06-27,2023-06-27,Reed Production,Reed Production,Barnett,Barnett,Barnett,Barnett,Texas,Texas,Cooke,Cooke,11607.0,11607.0,0.0,0.0,6276.0,6276.0,2024-10-14 20:54:13.666406
4209734806,Vertical,Vertical,"TRUBENBACH, J. F. -A- 32",Oil,Oil,2023-09-05,2023-09-05,Wfw Production,Wfw Production,Barnett,Barnett,Barnett,Barnett,Texas,Texas,Cooke,Cooke,1662.0,1662.0,0.0,0.0,0.0,0.0,2024-10-14 20:54:13.666406
4210330480,Vertical,Vertical,WADDELL TR 3 1105,Oil,Oil,2023-05-19,2023-05-19,Blackbeard,Blackbeard,Permian,Permian,Central Basin Platform,Central Basin Platform,Texas,Texas,Crane,Crane,4559.0,4559.0,6005.0,6005.0,42672.0,42672.0,2024-10-14 20:54:13.666406
4210330625,Vertical,Vertical,"COWDEN, JERRY 2",,Oil,2023-06-26,2023-06-26,Silver Cross Energy Partners,Silver Cross Energy Partners,Permian,Permian,Central Basin Platform,Central Basin Platform,Texas,Texas,Crane,Crane,747.0,747.0,2240.0,2240.0,15087.0,15087.0,2024-10-14 20:54:13.666406
4210332303,Vertical,Vertical,WADDELL TR 3 1117A,Oil,Oil,2023-05-05,2023-05-05,Blackbeard,Blackbeard,Permian,Permian,Central Basin Platform,Central Basin Platform,Texas,Texas,Crane,Crane,17920.0,17920.0,17573.0,17573.0,36634.0,36634.0,2024-10-14 20:54:13.666406
4212335174,Horizontal,Horizontal,LACKEY-FRISBIE USW B 1,Oil,Oil,2023-05-01,2023-05-01,ConocoPhillips,ConocoPhillips,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,338665.0,338665.0,922803.0,922803.0,877142.0,877142.0,2024-10-14 20:54:13.666406
4212335200,Horizontal,Horizontal,ADAMS UNIT A 5,Oil,Oil,2023-01-26,2023-01-26,ConocoPhillips,ConocoPhillips,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,230263.0,230263.0,665269.0,665269.0,113787.0,113787.0,2024-10-14 20:54:13.666406
4212335201,Horizontal,Horizontal,ADAMS UNIT A 6,Oil,Oil,2023-01-27,2023-01-27,ConocoPhillips,ConocoPhillips,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,199267.0,199267.0,604942.0,604942.0,87739.0,87739.0,2024-10-14 20:54:13.666406
4212335202,Horizontal,Horizontal,ADAMS UNIT A 7,Oil,Oil,2023-01-29,2023-01-29,ConocoPhillips,ConocoPhillips,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,274820.0,274820.0,799507.0,799507.0,76396.0,76396.0,2024-10-14 20:54:13.666406
4212335203,Horizontal,Horizontal,ADAMS UNIT A 8,Oil,Oil,2023-01-30,2023-01-30,ConocoPhillips,ConocoPhillips,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,229769.0,229769.0,661963.0,661963.0,56379.0,56379.0,2024-10-14 20:54:13.666406
4212335204,Horizontal,Horizontal,ADAMS UNIT A 9,Oil,Oil,2023-01-31,2023-01-31,,Surge Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,319361.0,319361.0,818607.0,818607.0,59618.0,59618.0,2024-10-14 20:54:13.666406
4212335229,Horizontal,Horizontal,SAGER 01-DUDERSTADT 01 SA1 01H,Gas,Gas,2023-03-30,2023-03-30,Marathon,Marathon,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,43500.0,43500.0,2470567.0,2470567.0,2396451.0,2396451.0,2024-10-14 20:54:13.666406
4212335230,Horizontal,Horizontal,SAGER 01-DUDERSTADT 01 SA2 02H,Gas,Gas,2023-04-01,2023-04-01,Marathon,Marathon,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,48068.0,48068.0,2330628.0,2330628.0,2260708.0,2260708.0,2024-10-14 20:54:13.666406
4212335231,Horizontal,Horizontal,SAGER 01 02H,Gas,Gas,2023-03-18,2023-03-18,Marathon,Marathon,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,72386.0,72386.0,1889212.0,1889212.0,1832536.0,1832536.0,2024-10-14 20:54:13.666406
4212335243,Horizontal,Horizontal,HOERMANN-KOLM 1H,Oil,Oil,2023-01-19,2023-01-19,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,221008.0,221008.0,496175.0,496175.0,57477.0,57477.0,2024-10-14 20:54:13.666406
4212335244,Horizontal,Horizontal,HOERMANN-KOLM 201H,Oil,Oil,2023-01-19,2023-01-19,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,83300.0,83300.0,250323.0,250323.0,323412.0,323412.0,2024-10-14 20:54:13.666406
4212335251,Vertical,Vertical,BOEDEKER ETAL GU 3,Oil,Oil,2023-01-28,2023-01-28,Hurd Enterprises,Hurd Enterprises,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,77841.0,77841.0,609807.0,609807.0,201607.0,201607.0,2024-10-14 20:54:13.666406
4212335252,Vertical,Vertical,R4 PARTNERS 1,Gas,Gas,2023-03-04,2023-03-04,Kaler Energy,Kaler Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,45927.0,45927.0,437322.0,437322.0,118949.0,118949.0,2024-10-14 20:54:13.666406
4212335278,Horizontal,Horizontal,HOERMANN-LANGHOFF B 1H,Oil,Oil,2023-05-18,2023-05-18,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,158347.0,158347.0,759449.0,759449.0,108273.0,108273.0,2024-10-14 20:54:13.666406
4212335280,Horizontal,Horizontal,HOERMANN-LANGHOFF B 201H,Oil,Oil,2023-05-20,2023-05-20,Crescent Energy,Crescent Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,125076.0,125076.0,668334.0,668334.0,391018.0,391018.0,2024-10-14 20:54:13.666406
4212335302,Horizontal,Horizontal,HICKORY A 1H,Gas,Gas,2023-06-12,2023-06-12,Baytex Energy,Baytex Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,48324.0,48324.0,1593841.0,1593841.0,1546025.0,1546025.0,2024-10-14 20:54:13.666406
4212335303,Horizontal,Horizontal,HICKORY B 2H,Gas,Gas,2023-06-12,2023-06-12,Baytex Energy,Baytex Energy,Eagle Ford,Eagle Ford,Central Eagle Ford,Central Eagle Ford,Texas,Texas,DeWitt,DeWitt,47133.0,47133.0,1282478.0,1282478.0,1244004.0,1244004.0,2024-10-14 20:54:13.666406
4227580366,Vertical,Vertical,"ROBERTS, S. C. 1",Oil,Oil,2023-05-12,2023-05-12,Older Than Dirt,Older Than Dirt,Barnett,Barnett,Barnett,Barnett,Texas,Texas,Knox,Knox,27.0,27.0,0.0,0.0,242.0,242.0,2024-10-14 20:54:13.666406
4231745269,Horizontal,Horizontal,EAST CROSS BAR RANCH 0701WP,Oil,Oil,2023-07-21,2023-07-21,Occidental,Occidental,Permian,Permian,Midland,Midland,Texas,Texas,Martin,Martin,44697.0,44697.0,111964.0,111964.0,318840.0,318840.0,2024-10-14 20:54:13.666406
4231745680,Horizontal,Horizontal,MIDNIGHT MATADOR 12-24 B 2WD,Oil,Oil,2023-12-28,2023-12-28,Birch Resources,Birch Resources,Permian,Permian,Midland,Midland,Texas,Texas,Martin,Martin,622.0,622.0,119501.0,119501.0,1611.0,1611.0,2024-10-14 20:54:13.666406
4232132444,Vertical,Vertical,BUNK 1,Gas,Gas,2023-01-19,2023-01-19,Ponderosa Oil & Gas,Ponderosa Oil & Gas,Other,Other,Other,Other,Texas,Texas,Matagorda,Matagorda,2154.0,2154.0,159236.0,159236.0,154459.0,154459.0,2024-10-14 20:54:13.666406
4235300803,Vertical,Vertical,"LITTLE, JESSIE 1",Oil,Oil,2023-03-12,2023-03-12,Scout Energy Partners,Scout Energy Partners,Permian,Permian,Eastern Shelf,Eastern Shelf,Texas,Texas,Nolan,Nolan,3558.0,3558.0,5472.0,5472.0,0.0,0.0,2024-10-14 20:54:13.666406
4237140394,Horizontal,Horizontal,ZAUK STATE 37-39 B 2WA,Oil,Oil,2023-01-06,2023-01-06,Diamondback,Diamondback,Permian,Permian,Delaware,Delaware,Texas,Texas,Pecos,Pecos,152197.0,152197.0,185703.0,185703.0,922740.0,922740.0,2024-10-14 20:54:13.666406
4237140419,Horizontal,Horizontal,MAGNOLIA STATE UNIT 5001CH,Oil,Oil,2023-01-08,2023-01-08,Continental Resources,Continental Resources,Permian,Permian,Delaware,Delaware,Texas,Texas,Pecos,Pecos,173321.0,173321.0,232997.0,232997.0,422738.0,422738.0,2024-10-14 20:54:13.666406
4237140422,Horizontal,Horizontal,JOLLY JUMPER 48-21-28 2B3 303H,Oil,Oil,2023-02-07,2023-02-07,Exxon Mobil,Exxon Mobil,Permian,Permian,Delaware,Delaware,Texas,Texas,Pecos,Pecos,73385.0,73385.0,52348.0,52348.0,0.0,0.0,2024-10-14 20:54:13.666406
4237140423,Horizontal,Horizontal,GUNPOWDER 48-21-16 2B3 303H,Oil,Oil,2023-02-06,2023-02-06,Exxon Mobil,Exxon Mobil,Permian,Permian,Delaware,Delaware,Texas,Texas,Pecos,Pecos,79866.0,79866.0,49506.0,49506.0,740544.0,740544.0,2024-10-14 20:54:13.666406
4237140424,Horizontal,Horizontal,GUNPOWDER 48-21-16 2B4 304H,Oil,Oil,2023-02-05,2023-02-05,Exxon Mobil,Exxon Mobil,Permian,Permian,Delaware,Delaware,Texas,Texas,Pecos,Pecos,103628.0,103628.0,79035.0,79035.0,268397.0,268397.0,2024-10-14 20:54:13.666406
4237140425,Horizontal,Horizontal,EL KABONG 48-17-8 303H,Oil,Oil,2023-02-25,2023-02-25,Exxon Mobil,Exxon Mobil,Permian,Permian,Delaware,Delaware,Texas,Texas,Pecos,Pecos,38043.0,38043.0,19995.0,19995.0,245658.0,245658.0,2024-10-14 20:54:13.666406
